invoice_id,invoice_code,supplier_name,business_registration_no,project_id,purchase_request_id,amount_krw,vat_krw,issue_date,source_file,confidence
INV-0001,INV-2026-0001,Synthetic Data Services Korea,655-49-33010,PJ-0005,PR-0073,121581321,12158132,2026-08-04,synthetic_invoice_0001.pdf,0.57
INV-0002,INV-2026-0002,Ulsan Sensor Co.,439-88-36406,,,449054,44905,2026-10-24,synthetic_invoice_0002.pdf,0.61
INV-0003,INV-2026-0003,Ulsan Sensor Co.,251-85-28566,PJ-0001,PR-0023,3688640,368864,2026-10-16,synthetic_invoice_0003.pdf,0.6
INV-0004,INV-2026-0004,Gyeongnam Robotics Parts,700-22-54113,PJ-0004,PR-0068,123345338,12334533,2026-06-17,synthetic_invoice_0004.pdf,0.69
INV-0005,INV-2026-0005,Synthetic Data Services Korea,764-50-32833,PJ-0006,,1195503,119550,2026-09-29,synthetic_invoice_0005.pdf,0.97
INV-0006,INV-2026-0006,Korea Vision Systems,487-49-48602,PJ-0004,,124681115,12468111,2026-05-03,synthetic_invoice_0006.pdf,0.63
INV-0007,INV-2026-0007,Ulsan Sensor Co.,286-87-51709,PJ-0005,PR-0001,123371602,12337160,2026-10-25,synthetic_invoice_0007.pdf,0.97
INV-0008,INV-2026-0008,Seoul GPU Market,863-19-41194,PJ-0003,,123396676,12339667,2026-06-28,synthetic_invoice_0008.pdf,0.97
INV-0009,INV-2026-0009,Seoul GPU Market,557-11-44761,PJ-0001,PR-0022,5720573,572057,2026-05-24,synthetic_invoice_0009.pdf,0.66
INV-0010,INV-2026-0010,Ulsan Sensor Co.,495-66-65004,,PR-0009,205152891,20515289,2026-05-13,synthetic_invoice_0010.pdf,0.93
INV-0011,INV-2026-0011,Synthetic Data Services Korea,907-83-95323,PJ-0004,,3986832,398683,2026-10-12,synthetic_invoice_0011.pdf,0.85
INV-0012,INV-2026-0012,Ulsan Sensor Co.,426-43-23726,PJ-0006,PR-0021,1195503,119550,2026-04-19,synthetic_invoice_0012.pdf,0.7
INV-0013,INV-2026-0013,Seoul GPU Market,708-88-73273,,,881018,88101,2026-09-28,synthetic_invoice_0013.pdf,0.56
INV-0014,INV-2026-0014,Seoul GPU Market,310-34-63645,PJ-0001,,121273155,12127315,2026-09-26,synthetic_invoice_0014.pdf,0.79
