publication_id,title,project_id,dataset_id,model_id,experiment_id,authors,type,status,target_venue,year,reproducibility_package_status,doi_like_id,code_commit,artifact_path
PUB-0001,Synthetic Paper 001: Process mining with AI-Based Analytics,PJ-0006,DS-0028,MDL-0022,EXP-0061,"Author_020, Author_003, Author_009",journal,published,Synthetic Journal of Industrial AI,2027,pending,10.9999/synth.dais.2026.0001,ed26710a9fff,minio://synthetic-dais/publications/PUB-0001/
PUB-0002,Synthetic Paper 002: Hydraulic quality monitoring with AI-Based Analytics,PJ-0002,,,,"Author_019, Author_019",conference,published,Synthetic Journal of Industrial AI,2026,incomplete,10.9999/synth.dais.2026.0002,,
PUB-0003,Synthetic Paper 003: Semiconductor digital twin with AI-Based Analytics,PJ-0005,DS-0015,MDL-0026,EXP-0027,"Author_019, Author_010, Author_005",conference,published,Synthetic IEEE Venue,2026,complete,10.9999/synth.dais.2026.0003,6ba980a9d87d,minio://synthetic-dais/publications/PUB-0003/
PUB-0004,Synthetic Paper 004: Process mining with AI-Based Analytics,PJ-0006,DS-0007,MDL-0032,EXP-0038,"Author_017, Author_005, Author_015",journal,draft,Synthetic IEEE Venue,2026,pending,10.9999/synth.dais.2026.0004,426ce1e01010,minio://synthetic-dais/publications/PUB-0004/
PUB-0005,Synthetic Paper 005: System anomaly detection with AI-Based Analytics,PJ-0008,,,,"Author_008, Author_003, Author_009, Author_012, Author_008",journal,draft,Synthetic IEEE Venue,2027,incomplete,10.9999/synth.dais.2026.0005,,
PUB-0006,Synthetic Paper 006: Machine vision with AI-Based Analytics,PJ-0007,DS-0033,MDL-0016,EXP-0107,"Author_011, Author_004",technical_report,published,Synthetic IEEE Venue,2027,pending,10.9999/synth.dais.2026.0006,78cde7189847,minio://synthetic-dais/publications/PUB-0006/
PUB-0007,Synthetic Paper 007: Semiconductor digital twin with AI-Based Analytics,PJ-0005,DS-0003,MDL-0021,EXP-0104,"Author_019, Author_003, Author_017, Author_009",conference,draft,Synthetic IEEE Venue,2027,complete,10.9999/synth.dais.2026.0007,207947d4a9c5,minio://synthetic-dais/publications/PUB-0007/
PUB-0008,Synthetic Paper 008: Process mining with AI-Based Analytics,PJ-0006,DS-0007,MDL-0029,EXP-0078,"Author_017, Author_005",conference,draft,Synthetic Journal of Industrial AI,2026,pending,10.9999/synth.dais.2026.0008,8b7220e327e2,minio://synthetic-dais/publications/PUB-0008/
PUB-0009,Synthetic Paper 009: Semiconductor digital twin with AI-Based Analytics,PJ-0005,,,,"Author_020, Author_004, Author_008, Author_014",conference,idea,Synthetic KIIE Conference,2027,incomplete,10.9999/synth.dais.2026.0009,,
PUB-0010,Synthetic Paper 010: System anomaly detection with AI-Based Analytics,PJ-0008,,,,"Author_001, Author_008, Author_002, Author_005, Author_019",technical_report,draft,Synthetic Journal of Industrial AI,2026,incomplete,10.9999/synth.dais.2026.0010,,
PUB-0011,Synthetic Paper 011: Welding inspection AI with AI-Based Analytics,PJ-0003,,,,"Author_017, Author_013, Author_020",technical_report,idea,Synthetic IEEE Venue,2027,incomplete,10.9999/synth.dais.2026.0011,,
PUB-0012,Synthetic Paper 012: Hydraulic quality monitoring with AI-Based Analytics,PJ-0002,DS-0031,MDL-0014,EXP-0074,"Author_016, Author_006, Author_008, Author_014, Author_020",journal,published,Synthetic Journal of Industrial AI,2027,complete,10.9999/synth.dais.2026.0012,60e64b15ee3b,minio://synthetic-dais/publications/PUB-0012/
PUB-0013,Synthetic Paper 013: Process mining with AI-Based Analytics,PJ-0006,DS-0007,MDL-0029,EXP-0098,"Author_013, Author_013, Author_005",journal,idea,Synthetic Journal of Industrial AI,2027,complete,10.9999/synth.dais.2026.0013,9b8e057fe2a9,minio://synthetic-dais/publications/PUB-0013/
PUB-0014,Synthetic Paper 014: Hydraulic quality monitoring with AI-Based Analytics,PJ-0002,DS-0037,MDL-0013,EXP-0013,"Author_018, Author_017",journal,idea,Synthetic KIIE Conference,2026,pending,10.9999/synth.dais.2026.0014,6881b1d40dcb,minio://synthetic-dais/publications/PUB-0014/
PUB-0015,Synthetic Paper 015: BESS safety AI with AI-Based Analytics,PJ-0001,DS-0027,MDL-0030,EXP-0102,"Author_002, Author_017, Author_014, Author_008",conference,accepted,Synthetic KIIE Conference,2026,complete,10.9999/synth.dais.2026.0015,3c91fe8393de,minio://synthetic-dais/publications/PUB-0015/
PUB-0016,Synthetic Paper 016: Welding inspection AI with AI-Based Analytics,PJ-0003,DS-0005,MDL-0031,EXP-0063,"Author_010, Author_020",technical_report,accepted,Synthetic KIIE Conference,2026,complete,10.9999/synth.dais.2026.0016,acc2744a05b4,minio://synthetic-dais/publications/PUB-0016/
PUB-0017,Synthetic Paper 017: BESS safety AI with AI-Based Analytics,PJ-0001,,,,"Author_013, Author_007",technical_report,submitted,Synthetic KIIE Conference,2027,incomplete,10.9999/synth.dais.2026.0017,,
PUB-0018,Synthetic Paper 018: Hydraulic quality monitoring with AI-Based Analytics,PJ-0002,DS-0037,MDL-0013,EXP-0013,"Author_009, Author_018, Author_014, Author_019",conference,published,Synthetic KIIE Conference,2027,complete,10.9999/synth.dais.2026.0018,e9d0a819f97b,minio://synthetic-dais/publications/PUB-0018/
PUB-0019,Synthetic Paper 019: Machine vision with AI-Based Analytics,PJ-0007,,,,"Author_009, Author_010, Author_019, Author_012, Author_013",technical_report,draft,Synthetic IEEE Venue,2026,incomplete,10.9999/synth.dais.2026.0019,,
PUB-0020,Synthetic Paper 020: Cyber-physical systems with AI-Based Analytics,PJ-0004,,,,"Author_011, Author_018, Author_020, Author_002, Author_006",conference,idea,Synthetic Journal of Industrial AI,2026,incomplete,10.9999/synth.dais.2026.0020,,
